일자,구분,제목,URL
2016-06-14,기타,Starbucks Has More Customer Money on Cards Than Many Banks Have in Deposits,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/6_KWj2_wPo8/14266?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-14,기타,Shape Shifters - Multipurpose Packaging Fills Dual Roles for Consumers,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/JWDXAKZRiA0/14265?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-14,기타,Macbook Meets OLED,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/eSBsfA8GmwY/14267?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-14,기타,Philips Sonicare FlexCare Platinum Connected,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/RuiQeyVi1gw/14269?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-14,기타,"Increase in Living with Parents Driven by Those Ages 25-34, Non-College Grads","=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/NX7v75bLCGQ/14270?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-14,기타,New Exoskeleton Exclusively for Disabled Kids,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/4iSdumrr0II/14271?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-14,기타,Bespoke 3D Printed Lingerie Removes the Need for Elastic,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/HyJf2YIHphQ/14272?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-15,기타,Quarterly Trend Report - Q2. 2016 Edition,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/nttCOupwk4g/14281?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-15,기타,Line’s IPO Filing Shows The Asian Chat App is Going Public Past its Peak,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/G7py0PMV6Mo/14276?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-15,기타,"AR Startup Meta Raises $50M at Around $300M Valuation, Eyes Up China","=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/61oA6Ngq99M/14278?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-15,기타,"In Financial Services, Customer Service Can Be A Deal Maker","=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/SVTSWLTRf9U/14275?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-15,Video,Trōv : On-Demand Insurance For Your Things,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/upN4Py_Y4jo/14277?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-15,기타,Bacteria-Free Bedsheets That Stay Clean And Fresh - Silvon,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/tSrrRrokKik/14279?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-15,기타,Build Your Own Phone,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/jT-bV2EddnM/14273?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-15,Infographic,"What Music Festivalgoers Are Buying, Posting and Sharing","=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/xiMKF5C7aTk/14280?utm_source=feedburner&amp;utm_medium=email"")"
