순번,키워드,발표처,제목,웹주소
1,ETRI,전자신문,"[출연연 대개혁]미래부, ETRI 노조 매점 운영 지적","=HYPERLINK(""http://www.etnews.com/20160718000535"")"
1,ETRI,대덕넷,출연연 연구장비 집적화·공동활용 본격 시행,"=HYPERLINK(""http://www.hellodd.com/?md=news&mt=view&pid=58658"")"
1,ETRI,전자신문,"[출연연 대개혁] <1>노는 연구원, 노는 연구자","=HYPERLINK(""http://www.etnews.com/20160718000407"")"
1,ETRI,전자신문,[출연연 대개혁] <1>솜방망이 처벌에 부패 행위 반복…막가는 연구기관,"=HYPERLINK(""http://www.etnews.com/20160718000326"")"
1,ETRI,대한민국정책포털 korea.kr,서울 도심 365일 24시간 불 꺼지지 않는 '열정 공간',"=HYPERLINK(""http://www.korea.kr/policy/economyView.do?newsId=148818587&amp;pWise=main&amp;pWiseMain=E1"")"
1,ETRI,서울신문,"[창간 112주년 특별기획] 통역은 AI, 경기는 VR, 속도는 5G… 평창은 ...","=HYPERLINK(""http://www.seoul.co.kr/news/newsView.php?id=20160719011002"")"
1,ETRI,일간스포츠,[궁금한 화요일] 차 유리창에 터치스크린…영화 보고 주변 검색도,"=HYPERLINK(""http://isplus.live.joins.com/news/article/article.asp?total_id=20325928&ctg=1601&tm=i_lf_7011"")"
1,ETRI,V3.co.uk,Microsoft admits Windows 10 will not be on one billion devices by ...,"=HYPERLINK(""http://www.v3.co.uk/v3-uk/news/2465203/microsoft-admits-windows-10-will-not-be-on-one-billion-devices-by-2018"")"
1,ETRI,El Impulso (Comunicado de prensa) (blog),Crean app de traducción automática para turistas de Juegos ...,"=HYPERLINK(""http://www.elimpulso.com/noticias/actualidad/tecnologia/crean-app-traduccion-automatica-turistas-juegos-olimpicos-2018"")"
2,한국전자통신연구원,노컷뉴스,'식비 삭감·상여금 차별'…공공기관·노동자 간 갈등 이어져,"=HYPERLINK(""http://www.nocutnews.co.kr/news/4624525"")"
2,한국전자통신연구원,한국일보,기존 기술+콘텐츠ㆍ플랫폼='포켓몬 고' 대박,"=HYPERLINK(""https://www.hankookilbo.com/v/cf9c22f61819465f9f0289ef464732f5"")"
2,한국전자통신연구원,뉴스웍스,중·일 융단폭격식 미래산업 투자...커지는 넛크래커 공포,"=HYPERLINK(""http://www.newsworks.co.kr/news/articleView.html?idxno=70639"")"
2,한국전자통신연구원,뉴시스,"무역협회 ""메이드인코리아, '코리안메이드'로 바꿔야""","=HYPERLINK(""http://www.newsis.com/ar_detail/view.html?ar_id=NISX20160718_0014228961&cID=10401&pID=10400"")"
2,한국전자통신연구원,전자신문,한국형 우주발사체 개발 차질,"=HYPERLINK(""http://www.etnews.com/20160715000308"")"
5,미래부,Science Times,"미래부, '소프트로봇' 연구에 7년간 125억 투자","=HYPERLINK(""http://www.sciencetimes.co.kr/?news=%EB%AF%B8%EB%9E%98%EB%B6%80-%EC%86%8C%ED%94%84%ED%8A%B8%EB%A1%9C%EB%B4%87-%EC%97%B0%EA%B5%AC%EC%97%90-7%EB%85%84%EA%B0%84-125%EC%96%B5-%ED%88%AC%EC%9E%90"")"
5,미래부,아시아경제,"미래부, 무선전력전송 원스톱 종합지원센터 개소","=HYPERLINK(""http://www.asiae.co.kr/news/view.htm?idxno=2016071909522651174"")"
5,미래부,아시아경제,"미래부-관세청, 전파 관련 불법·불량 수입물품 차단 협력","=HYPERLINK(""http://www.asiae.co.kr/news/view.htm?idxno=2016071909584808570"")"
5,미래부,연합뉴스,"미래부·방통위, '지상파 UHD 방송 추진위' 공식 출범","=HYPERLINK(""http://www.yonhapnews.co.kr/bulletin/2016/07/19/0200000000AKR20160719081800033.HTML"")"
5,미래부,헤럴드경제 미주판,공정위 인수합병 불허에…미래부 - SKT - CJH 셈법 제각각,"=HYPERLINK(""http://heraldk.com/2016/07/18/%EA%B3%B5%EC%A0%95%EC%9C%84-%EC%9D%B8%EC%88%98%ED%95%A9%EB%B3%91-%EB%B6%88%ED%97%88%EC%97%90%EB%AF%B8%EB%9E%98%EB%B6%80-skt-cjh-%EC%85%88%EB%B2%95-%EC%A0%9C%EA%B0%81%EA%B0%81/"")"
5,미래부,연합뉴스,점자 스마트워치·파도발전…서울 도심서 창업 '물결',"=HYPERLINK(""http://www.yonhapnews.co.kr/bulletin/2016/07/19/0200000000AKR20160719093200017.HTML"")"
5,미래부,포커스뉴스,"'롯데홈쇼핑 채널승인 비리 의혹' 강현구 사장, 구속영장 기각","=HYPERLINK(""http://www.focus.kr/view.php?key=2016071900061107166"")"
5,미래부,Science Times,한국 국제올림피아드서 쾌거,"=HYPERLINK(""http://www.sciencetimes.co.kr/?news=%ED%95%9C%EA%B5%AD-%EA%B5%AD%EC%A0%9C%EC%98%AC%EB%A6%BC%ED%94%BC%EC%95%84%EB%93%9C%EC%84%9C-%EC%BE%8C%EA%B1%B0"")"
5,미래부,뉴스플러스,[기자의 시각] '한국형 포켓몬 고'는 안 된다,"=HYPERLINK(""http://premium.chosun.com/site/data/html_dir/2016/07/19/2016071900369.html"")"
5,미래부,한겨레,"'알파고시대' 대안은 기본소득?…정부 부처, 정치권도 '열공' 중","=HYPERLINK(""http://www.hani.co.kr/arti/society/society_general/752864.html"")"
5,미래부,디오데오,"국내연구진, 식도암 진단·치료 방사성의약품 세계최초 개발","=HYPERLINK(""http://www.diodeo.com/news/view/1708120"")"
5,미래부,아시아경제,"韓, 국제핵융합실험로 수주 5000억 원 넘었다","=HYPERLINK(""http://www.asiae.co.kr/news/view.htm?idxno=2016071910313608950"")"
5,미래부,시사비즈 (풍자),"NICE신용평가, SK브로드밴드 신용등급 전망 하향 예고","=HYPERLINK(""http://www.sisabiz.com/biz/article/155515"")"
5,미래부,자유아시아방송,"북, 컴퓨터사용 단속 더욱 강화","=HYPERLINK(""http://www.rfa.org/korean/weekly_program/nk_now/nktoday-07182016103322.html"")"
5,미래부,디지털타임스,미래성장동력 분야서 표준특허 찾는다,"=HYPERLINK(""http://www.dt.co.kr/contents.html?article_no=2016071902101876731001"")"
5,미래부,전자신문,경기정보보호지원센터 언제 문여나..32만개 중소기업 발동동,"=HYPERLINK(""http://www.etnews.com/20160718000250"")"
5,미래부,뉴시스,"청소년, 여성가족부 일일 공무원 체험","=HYPERLINK(""http://www.newsis.com/ar_detail/view.html?ar_id=NISX20160719_0014230362&cID=10201&pID=10200"")"
5,미래부,전자신문,한국형 우주발사체 개발 차질,"=HYPERLINK(""http://www.etnews.com/20160715000308?koost=hotnews"")"
5,미래부,한국대학신문,"""미방위 뭐하나"" R&D정책 사실상 '외면'","=HYPERLINK(""http://news.unn.net/news/articleView.html?idxno=161401"")"
5,미래부,아이뉴스24,나도 모르게 내 계좌가 보이스피싱에 쓰였다면?,"=HYPERLINK(""http://news.inews24.com/php/news_view.php?g_serial=969365&g_menu=022400"")"
5,미래부,매일경제,"[통신서비스] 공정위, 최종 불허 결정 유지. 유료방송업에 어둠이 깃들다","=HYPERLINK(""http://vip.mk.co.kr/newSt/news/news_view2.php?t_uid=6&c_uid=31948&sCode=12"")"
5,미래부,아시아투데이,SKT-CJHV 'M&A 불발'…케이블 TV 업계 '탄식',"=HYPERLINK(""http://www.asiatoday.co.kr/view.php?key=20160718010008369"")"
5,미래부,디오데오,인천경제자유구역 '글로벌 경제 전진기지' 선언,"=HYPERLINK(""http://www.diodeo.com/news/view/1708413"")"
5,미래부,매일경제,"[통신서비스] 공정위의 SKT와 CJ헬로비전 인수합병 최종 불허, 그 후","=HYPERLINK(""http://vip.mk.co.kr/newSt/news/news_view2.php?t_uid=6&c_uid=31957&sCode=12"")"
5,미래부,뉴시스,"유엔, 英·獨에 ""파리 기후변화협약 정신 저버려""","=HYPERLINK(""http://www.newsis.com/ar_detail/view.html?ar_id=NISX20160718_0014228724&cID=10101&pID=10100"")"
5,미래부,플래텀,[Startup's Story #268] 야놀자가 호텔나우를 인수한 이유는?,"=HYPERLINK(""http://platum.kr/archives/63427"")"
