순번,키워드,발표처,제목,웹주소
5,미래부,코리아쉬핑가제트,국토부 '2016 물류 새싹기업 경진대회' 개최,"=HYPERLINK(""http://www.ksg.co.kr/news/main_newsView.jsp?bbsID=news&pNum=109321&bbsCategory=KSG&backUrl=news_list&categoryCode=XHJ"")"
5,미래부,뉴스앤조이,성경이 말하는 '잘됨'이란?,"=HYPERLINK(""http://www.newsnjoy.or.kr/news/articleView.html?idxno=204698"")"
5,미래부,더스쿠프,"행복한 1인자 되기   정주영의 발, 로저스의 눈","=HYPERLINK(""http://www.thescoop.co.kr/news/articleView.html?idxno=20769"")"
5,미래부,서울신문,2030세대 76% “돈·인맥 있어야 성공” 5060세대 38% “열정과 노력이 ...,"=HYPERLINK(""http://www.seoul.co.kr/news/newsView.php?id=20160719001011"")"
5,미래부,동아일보,외국까지 소문난 체험휴양마을… 농촌 발전 효과 톡톡,"=HYPERLINK(""http://travel.donga.com/3/all/20160718/79264727/1"")"
5,미래부,JTBC,"[탐사플러스] 지도 데이터 논란…제국주의냐, 쇄국주의냐","=HYPERLINK(""http://news.jtbc.joins.com/html/577/NB11274577.html"")"
5,미래부,이데일리,"[비즈인터뷰]①“한국 IT 아직 갈 길 멀어...'질적 빅3' 될 것""","=HYPERLINK(""http://www.edaily.co.kr/news/newspath.asp?newsid=01380886612716160"")"
5,미래부,데일리환경,19일 CCS 전문가들 모여 '환경포럼' 개최,"=HYPERLINK(""http://www.dailyt.co.kr/news/articleView.html?idxno=7504"")"
5,미래부,경기일보,SKT-CJ헬로비전 합병 불허로 케이블TV업계 '사면초가'…공정위 “양사 ...,"=HYPERLINK(""http://www.kyeonggi.com/?mod=news&act=articleView&idxno=1208622&sc_code=&page=11&total=150019"")"
5,미래부,Korea Daily,"[정보화진흥원 좌담회]인공지능 시대, 우리가 나아갈 방향은?","=HYPERLINK(""http://www.koreadaily.com/news/read.asp?art_id=4444893"")"
5,미래부,충청투데이,자유의 대가,"=HYPERLINK(""http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=991247"")"
5,미래부,NSP통신,목포 관광 1번지 유달산 둘레길 '산·숲·섬' 서해안 절경 한눈에,"=HYPERLINK(""http://www.nspna.com/news/?mode=view&newsid=180098"")"
5,미래부,디지틀보사,"SCL 헬스케어그룹, 한·중 헬스케어 분야 선두주자 활약","=HYPERLINK(""https://www.bosa.co.kr/umap/sub.asp?news_pk=606966"")"
5,미래부,이투데이,"법원 ""'주가조작 의혹' CNK인터내셔널 상장폐지 정당""","=HYPERLINK(""http://www.etoday.co.kr/news/section/newsview.php?idxno=1358768"")"
5,미래부,국토일보,"APEC 기후센터, 아시아개발은행과 공동사업 발굴한다","=HYPERLINK(""http://www.ikld.kr/news/articleView.html?idxno=59377"")"
5,미래부,트래블바이크뉴스,'원숭이 비하' 전 맨유 마케다... 'K리그'로 11억?,"=HYPERLINK(""http://www.travelnbike.com/news/articleView.html?idxno=22580"")"
5,미래부,이데일리,전 세계 2500만부 '살아남기 시리즈' 아이디어 공모,"=HYPERLINK(""http://www.edaily.co.kr/news/NewsRead.edy?newsid=02036886612716160&SCD=JI31&DCD=A403"")"
5,미래부,헤럴드경제,"SGI서울보증, 우리은행과 베트남 모기지시장 진출","=HYPERLINK(""http://biz.heraldcorp.com/view.php?ud=20160719000019"")"
5,미래부,중앙일보,부산-런던 새로운 경제협력관계 물꼬 텄다,"=HYPERLINK(""http://news.joins.com/article/20324755"")"
5,미래부,서울파이낸스,"대한상의, 몽골서 '한-몽골 비즈니스 포럼' 개최","=HYPERLINK(""http://www.seoulfn.com/news/articleView.html?idxno=257201"")"
5,미래부,천지일보,[대구] 수성구보건소 '100세 건강대학' 졸업식 가져,"=HYPERLINK(""http://www.newscj.com/news/articleView.html?idxno=363219"")"
5,미래부,국민일보,"조선시대 UFO목격 사건, 조선에 온 명나라 흑인병사 등 기록 조선왕조 ...","=HYPERLINK(""http://news.kmib.co.kr/article/view.asp?arcid=0010790304&code=61121111&sid1=soc"")"
5,미래부,디지털타임스,"`신성장 테마` 골라담은 NH투자 ETN ""잘나가네""","=HYPERLINK(""http://www.dt.co.kr/contents.html?article_no=2016071902100658815001"")"
5,미래부,뉴스핌 (회원가입),"퍼시스그룹, 하계 인턴 및 경력사원 공개채용","=HYPERLINK(""http://www.newspim.com/news/view/20160718000261"")"
5,미래부,군산미래신문,"군산초 에어로빅부, 교육감배 우승 축포","=HYPERLINK(""http://www.kmrnews.com/ynews/ynews_view.php?code=NS05&pid=44995"")"
6,미래창조과학부,한국경제,"미래창조과학부, '소프트 로봇' 개발하기 위해 125억 원 투자","=HYPERLINK(""http://www.hankyung.com/news/app/newsview.php?aid=201607194838g"")"
6,미래창조과학부,머니투데이,"공주대 학생들, 미래창조과학부 장관상 수상","=HYPERLINK(""http://news.mt.co.kr/mtview.php?no=2016071900417455720"")"
6,미래창조과학부,연합뉴스,"""세포 특정 부분에 작용"" 나노선 센서 개발","=HYPERLINK(""http://www.yonhapnews.co.kr/bulletin/2016/07/19/0200000000AKR20160719040400063.HTML"")"
6,미래창조과학부,ZD넷 코리아,"공정위, SKT-CJ헬로비전 M&A 최종 불허","=HYPERLINK(""http://www.zdnet.co.kr/news/news_view.asp?artice_id=20160718102208&lo=z37"")"
6,미래창조과학부,한국일보,'인공태양' 핵융합실험로 해외수주액 5000억원 돌파,"=HYPERLINK(""https://www.hankookilbo.com/v/a5835d63948f4be1a17b2530ccd5a80f"")"
6,미래창조과학부,ZD넷 코리아,지상파UHD 추진위 공식 출범,"=HYPERLINK(""http://www.zdnet.co.kr/news/news_view.asp?artice_id=20160719160518"")"
6,미래창조과학부,연합뉴스,의약품에 방사성동위원소 붙이면 식도암 치료 효과↑,"=HYPERLINK(""http://www.yonhapnews.co.kr/bulletin/2016/07/19/0200000000AKR20160719078800017.HTML"")"
6,미래창조과학부,전자신문,"NIPA, 판교 스타트업 캠퍼스서 `스타트업 육성 사업 ` 본격 추진","=HYPERLINK(""http://www.etnews.com/20160719000138"")"
6,미래창조과학부,아이뉴스24,지상파 UHD 방송 추진위원회 출범,"=HYPERLINK(""http://news.inews24.com/php/news_view.php?g_serial=969355&g_menu=020320"")"
6,미래창조과학부,전자신문,투데이이슈,"=HYPERLINK(""http://www.etnews.com/20160718000493"")"
6,미래창조과학부,연합뉴스,전북대 120억대 재난 예측 플랫폼 개발사업자로 선정,"=HYPERLINK(""http://www.yonhapnews.co.kr/bulletin/2016/07/19/0200000000AKR20160719062000055.HTML"")"
6,미래창조과학부,MBN,오늘 롯데가 제사…삼부자 모일까?,"=HYPERLINK(""http://mbn.mk.co.kr/pages/news/newsView.php?news_seq_no=2952747"")"
6,미래창조과학부,연합뉴스,"KIST, 태양전지 효율 높이는 신소재 개발","=HYPERLINK(""http://www.yonhapnews.co.kr/bulletin/2016/07/19/0200000000AKR20160719032900017.HTML"")"
6,미래창조과학부,서울경제,"교육부·법무부, 자유학기제 진로체험 프로그램 시범운영","=HYPERLINK(""http://www.sedaily.com/NewsView/1KYXCJCGYQ/GE02"")"
6,미래창조과학부,조선일보,"사드 논란·陳검사장 구속·禹수석 의혹… 朴대통령, 개각 구상 폭...","=HYPERLINK(""http://news.chosun.com/site/data/html_dir/2016/07/19/2016071900284.html"")"
6,미래창조과학부,동아사이언스,출연연 고가 연구장비 관리할 지원센터 만든다,"=HYPERLINK(""http://www.dongascience.com/news/view/13040"")"
6,미래창조과학부,헤럴드경제 미주판,양성평등기본법 시행 1년…정부委 여성참여율 1.6%p ↑,"=HYPERLINK(""http://heraldk.com/2016/07/18/%EC%96%91%EC%84%B1%ED%8F%89%EB%93%B1%EA%B8%B0%EB%B3%B8%EB%B2%95-%EC%8B%9C%ED%96%89-1%EB%85%84%EC%A0%95%EB%B6%80%E5%A7%94-%EC%97%AC%EC%84%B1%EC%B0%B8%EC%97%AC%EC%9C%A8-1-6p-%E2%86%91/"")"
6,미래창조과학부,전자신문,"SKT, CJ헬로비전 인수 물 건너갔다","=HYPERLINK(""http://www.etnews.com/20160718000493?m=1"")"
6,미래창조과학부,이데일리,"""공세·흔들기·찌라시""..靑, 우병우發 의혹에 이례적 '강경대응'","=HYPERLINK(""http://www.edaily.co.kr/news/NewsRead.edy?newsid=03611286612716160&SCD=JF11&DCD=A00601"")"
6,미래창조과학부,대한민국정책포털 korea.kr,괌 사드기지서 한국군이 전자파 측정…기준치의 0.007% 불과,"=HYPERLINK(""http://www.korea.kr/policy/diplomacyView.do?newsId=148818574&amp;pWise=main&amp;pWiseMain=E1"")"
6,미래창조과학부,IPnomics,"내년부터 AI에 생활법률 상담 받는다…법무부, 대화형 플랫폼 구축","=HYPERLINK(""http://www.ipnomics.co.kr/?p=53514"")"
6,미래창조과학부,한겨레,SKT-CJ헬로 인수합병 결국 무산…“유감이지만 수용”,"=HYPERLINK(""http://www.hani.co.kr/arti/economy/economy_general/752818.html"")"
6,미래창조과학부,보안뉴스,"인공지능 결합 CCTV, 사람의 눈 아닌 두뇌 대신하나","=HYPERLINK(""http://www.boannews.com/media/view.asp?idx=51253"")"
6,미래창조과학부,한국대학신문,"최호성 경남대 교수팀, 과학영재 창의연구 지원센터 지정","=HYPERLINK(""http://news.unn.net/news/articleView.html?idxno=161591"")"
6,미래창조과학부,법률저널,국가직 여성공무원 49.4% '매해 증가',"=HYPERLINK(""http://www.lec.co.kr/news/articleView.html?idxno=41237"")"
6,미래창조과학부,한국대학신문,"김형수 아주대 교수팀, 지질 대사물질 합성법 개발","=HYPERLINK(""http://news.unn.net/news/articleView.html?idxno=161551"")"
6,미래창조과학부,동아일보,"[HOT100] 서울권 4년제 대학으로는 첫 개설, '건국대 화장품공학과'","=HYPERLINK(""http://news.donga.com/List/3/all/20160719/79271407/1"")"
6,미래창조과학부,전자신문,[ET단상]스마트폰 앱 선탑에서 알아야 할 교훈,"=HYPERLINK(""http://www.etnews.com/20160718000216"")"
6,미래창조과학부,서울경제,대한민국 엔지니어상 7월 수상자 김남식·이길종 씨,"=HYPERLINK(""http://www.sedaily.com/NewsView/1KYWX3KPY9/GD05"")"
6,미래창조과학부,뉴스토마토,"ICT대연합, '2016년 프로보노 데이' 성황리 개최","=HYPERLINK(""http://www.newstomato.com/ReadNews.aspx?no=673567"")"
6,미래창조과학부,디지털타임스,"""가장 큰 피해자 케이블TV""… IPTV 공세 속 사면초가 우려","=HYPERLINK(""http://www.dt.co.kr/contents.html?article_no=2016071902100431104001"")"
6,미래창조과학부,트래블바이크뉴스,'GIF 2016 강원' 27일부터 강릉서 개최,"=HYPERLINK(""http://www.travelnbike.com/news/articleView.html?idxno=22606"")"
6,미래창조과학부,대덕넷,국제물리올림피아드 우리나라 종합 1위,"=HYPERLINK(""http://hellodd.com/?md=news&mt=view&pid=58657"")"
6,미래창조과학부,MBN,"이화여대 연구진, 신소재 기반 고효율 디스플레이소자 개발","=HYPERLINK(""http://mbn.mk.co.kr/pages/news/newsView.php?news_seq_no=2952368&page=1"")"
6,미래창조과학부,매일경제,"홈앤쇼핑 | 2기 맞은 홈앤쇼핑, 중소기업의 동반자","=HYPERLINK(""http://vip.mk.co.kr/news/view/21/20/1419385.html"")"
6,미래창조과학부,JTBC,박 대통령 귀국길…성주 '사드 사태' 해법 주목,"=HYPERLINK(""http://news.jtbc.joins.com/html/629/NB11274629.html"")"
6,미래창조과학부,아시아투데이,"미래부, 소프트로봇 개발에 7년간 125억원 투입","=HYPERLINK(""http://www.asiatoday.co.kr/view.php?key=20160719010008513"")"
6,미래창조과학부,대한민국정책포털 korea.kr,한·몽골 우호…'몽골 한류'로 한걸음 더,"=HYPERLINK(""http://www.korea.kr/celebrity/contributePolicyView.do?newsId=148818331&pWise=people1"")"
6,미래창조과학부,대한민국정책포털 korea.kr,한국형발사체 시험발사 연기 결정된바 없다,"=HYPERLINK(""http://www.korea.kr/policy/actuallyView.do?newsId=148818531&amp;pWise=main&amp;pWiseMain=G1"")"
6,미래창조과학부,대구신문,"경일대, 정보올림피아드 전국대회 개최…학생 600여명 참가","=HYPERLINK(""http://www.idaegu.co.kr/news.php?mode=view&num=202823"")"
6,미래창조과학부,이투뉴스,이산화탄소 포집·저장 기술 동향 논의,"=HYPERLINK(""http://www.e2news.com/news/articleView.html?idxno=94526"")"
6,미래창조과학부,세계일보,"우정사업본부, '2016 대한민국 우표전시회' 개최","=HYPERLINK(""http://www.segye.com/content/html/2016/07/18/20160718002899.html"")"
6,미래창조과학부,데이터넷 (보도자료) (가입),"TTA, 디지털사이니지 테스트베드 구축 사업 참가 기관 모집","=HYPERLINK(""http://www.datanet.co.kr/news/articleView.html?idxno=102006"")"
6,미래창조과학부,경기일보,"경기문화창조허브 스타트업 6곳, 성과 창출하며 '명예 졸업'","=HYPERLINK(""http://www.kyeonggi.com/?mod=news&act=articleView&idxno=1208809"")"
6,미래창조과학부,미디어펜,게도 구럭도 다 놓친 SKT-CJ헬로비전 합병 불허,"=HYPERLINK(""http://www.mediapen.com/news/view/169169"")"
6,미래창조과학부,매일경제,"일양약품, 신약 기술수출 확대로 최고 실적 기대","=HYPERLINK(""http://vip.mk.co.kr/news/view/21/20/1419368.html"")"
6,미래창조과학부,한국에너지신문,햇빛 재활용해 물로 수소에너지 더 많이 만든다,"=HYPERLINK(""http://www.koenergy.co.kr/news/articleView.html?idxno=83146"")"
6,미래창조과학부,뉴스프라이데이,공기정화식물! 실내 공간 배치 꿀팁,"=HYPERLINK(""https://newsfriday.com/1548148/%EA%B3%B5%EA%B8%B0%EC%A0%95%ED%99%94%EC%8B%9D%EB%AC%BC-%EC%8B%A4%EB%82%B4-%EA%B3%B5%EA%B0%84-%EB%B0%B0%EC%B9%98-%EA%BF%80%ED%8C%81/"")"
6,미래창조과학부,이타임즈,이산화탄소 포집·저장 기술…최신 국제동향 듣는다,"=HYPERLINK(""http://www.etimes.net/service/etimes_2011/ShellView.asp?ArticleID=2016071910431800948&LinkID=6347&newsset=world_juyo"")"
7,출연연,전자신문,가족동반 출장·뇌물…출연연의 '不法 불감증',"=HYPERLINK(""http://www.etnews.com/20160718000470"")"
7,출연연,전자신문,"[출연연 대개혁]미래부, ETRI 노조 매점 운영 지적","=HYPERLINK(""http://www.etnews.com/20160718000535"")"
7,출연연,전자신문,"[출연연 대개혁] <1>노는 연구원, 노는 연구자","=HYPERLINK(""http://www.etnews.com/20160718000407"")"
7,출연연,중도일보,출연연 연구장비 '집적화'로 중소기업 적극 지원,"=HYPERLINK(""http://www.joongdo.co.kr/jsp/article/article_view.jsp?pq=201607181838"")"
7,출연연,중도일보,"과학기술연구회, 출연연과 함께하는 여름방학 과학탐구생활","=HYPERLINK(""http://www.joongdo.co.kr/jsp/article/article_view.jsp?pq=201607181839"")"
7,출연연,충청투데이,3D프린팅도 하고 자동차도 만들고… “여름방학은 출연연과 함께”,"=HYPERLINK(""http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=991286"")"
7,출연연,충청투데이,"권선택 시장 ""대덕특구 분산 막아 과학도시 위상 지켜야""","=HYPERLINK(""http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=991374"")"
7,출연연,노컷뉴스,'식비 삭감·상여금 차별'…공공기관·노동자 간 갈등 이어져,"=HYPERLINK(""http://www.nocutnews.co.kr/news/4624525"")"
7,출연연,매일경제,렌즈 불량 줄이고…`건강 곤약` 개발 돕고,"=HYPERLINK(""http://news.mk.co.kr/newsRead.php?no=514685&year=2016"")"
