순번,키워드,발표처,제목,웹주소
6,미래창조과학부,경남연합일보,"경남창조센터, 지역 생활문화 청년 혁신가(팀) 모집","=HYPERLINK(""http://www.gnynews.co.kr/news/articleView.html?idxno=232677"")"
6,미래창조과학부,뉴스프라이데이,SBS [런닝맨] – 24일(일) 예고,"=HYPERLINK(""https://newsfriday.com/1549634/sbs-%EB%9F%B0%EB%8B%9D%EB%A7%A8-24%EC%9D%BC%EC%9D%BC-%EC%98%88%EA%B3%A0/"")"
6,미래창조과학부,서울Eye,"트리플 '1000'… 아이디어, 현실이 됐다","=HYPERLINK(""http://eye.seoul.co.kr/news/newsView.php?id=20160722005017&section=current_affairs&sectionPage=current_affairs&spage=1"")"
7,출연연,전자신문,[출연연 대개혁] 10억 미만 소형과제가 87%,"=HYPERLINK(""http://www.etnews.com/20160721000418"")"
7,출연연,전자신문,`프로젝트 공화국.`,"=HYPERLINK(""http://www.etnews.com/20160721000390"")"
7,출연연,전자신문,"3년 임기 기관장, 흔들리는 리더십·중장기 발전 힘들어","=HYPERLINK(""http://www.etnews.com/20160721000389"")"
7,출연연,이데일리,25개 출연硏 전국에 분원 64곳…8곳 중 1곳은 부실운영,"=HYPERLINK(""http://www.edaily.co.kr/news/newspath.asp?newsid=01262806612717144"")"
7,출연연,대덕넷,"Idea 좋다고 다 특허?···""전문적 선행기술조사 먼저!""","=HYPERLINK(""http://www.hellodd.com/?md=news&mt=view&pid=58702"")"
7,출연연,대덕넷,"'기웃거리기' 그만···""절벽 넘을 韓만의 프론티어 찾아라""","=HYPERLINK(""http://www.hellodd.com/?md=news&mt=view&pid=58699"")"
7,출연연,중도일보,대덕특구 내 기관장 선임 하반기에만 6건,"=HYPERLINK(""http://www.joongdo.co.kr/jsp/article/article_view.jsp?pq=201607212246"")"
