구분,발표처,제목,웹주소
중앙부처,한국정보화진흥원,“전자정부 수출 10억불 달성 위한 전자정부 컨설팅 국가대표 양성”,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846975?&amp;pageIndex=1"")"
중앙부처,해양수산부,선박안전도정보 공표('16년 2/4분기),"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846909?&amp;pageIndex=2"")"
중앙부처,해양수산부,2016년 3분기 특별점검 대상선박 고시,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846908?&amp;pageIndex=2"")"
중앙부처,해양수산부,목포-상태 서리 항로에 대한 대항여객운송사업자 선정결과 공고,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846901?&amp;pageIndex=2"")"
중앙부처,환경부,"공중전화부스, 전기차 급속충전소로 활용된다","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/829335?&amp;pageIndex=4"")"
지자체,강원도,국지도70호선 대곡~반곡 도로건설공사 주민 등의 의견수렴 결과 및 반영여부 공개,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846937?&amp;pageIndex=7"")"
지자체,강원도,2016년 제5회 강원도 사회공헌장 공적 공개검증 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846928?&amp;pageIndex=8"")"
지자체,강원도 강릉시,7. 15(금) 보도자료,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846837?&amp;pageIndex=13"")"
지자체,강원도 강릉시,중앙시장 2길(명동로) 불법주정차단속 CCTV 단속 개시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846732?&amp;pageIndex=17"")"
지자체,강원도 태백시,"다기능(과속,신호위반) 무인단속카메라 설치에 따른 행정예고","=HYPERLINK(""http://www.korea.go.kr/locgovNews/846925?&amp;pageIndex=9"")"
지자체,강원도 태백시,공유토지 분할개시결정 공고(화전동 62-20),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846923?&amp;pageIndex=9"")"
지자체,강원도 태백시,공유토지 분할조서의결 경공(황지동 133-19),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846921?&amp;pageIndex=9"")"
지자체,경기도,2016년 에너지 효율개선 지원사업 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846953?&amp;pageIndex=6"")"
지자체,경기도,2016년 에너지진단 원스톱 지원사업 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846952?&amp;pageIndex=6"")"
지자체,경기도,2016년 경기도 경기일자리센터 기간제근로자 모집 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846838?&amp;pageIndex=12"")"
지자체,경기도 군포시,2016년 상반기 궁내동 주민자치센터 수강료 수입·지출내역 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/847010?&amp;pageIndex=5"")"
지자체,경기도 군포시,군포시 금고 지정 계획 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/847008?&amp;pageIndex=5"")"
지자체,경기도 군포시,배출가스 전문정비사업 변경등록사항 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/847006?&amp;pageIndex=5"")"
지자체,경기도 군포시,"군포도시계획시설(중3-53호선, 중3-58호선, 소1-114호선) 도시계획변경 고시","=HYPERLINK(""http://www.korea.go.kr/locgovNews/847005?&amp;pageIndex=5"")"
지자체,경기도 부천시,『렌즈속의 부천마을 아카이브』 사진공모전 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846726?&amp;pageIndex=17"")"
지자체,경기도 수원시,「수원이야기」 공모전 당선작 발표,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846885?&amp;pageIndex=11"")"
지자체,경기도 시흥시,시흥 도시관리계획(공원조성계획:옥구공원) 결정 및 지형도면 고시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846775?&amp;pageIndex=15"")"
지자체,경기도 시흥시,공동주택 입주자모집 공고(배곧-대방노블랜드아파트(10년임대)),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846772?&amp;pageIndex=15"")"
지자체,경기도 시흥시,공동주택 입주자모집 공고(배곧-호반써밋플레이스(1차)아파트),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846769?&amp;pageIndex=16"")"
지자체,경기도 시흥시,공동주택 입주자모집 공고(배곧-호반써밋플레이스(2차)아파트),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846768?&amp;pageIndex=16"")"
지자체,경기도 시흥시,2016년 제4차 여성친화도시 공모사업(가족품앗이) 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846767?&amp;pageIndex=16"")"
지자체,경기도 양평군,다문어린이공원 공원조성계획 결정 고시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846887?&amp;pageIndex=11"")"
지자체,경기도 오산시,세대주 신고에 의한 주민등록 처리결과 공고(신**외 1명),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/847018?&amp;pageIndex=4"")"
지자체,경기도 오산시,2017년 주민참여예산 주민 제안 사업 공모,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846776?&amp;pageIndex=15"")"
지자체,경기도 오산시,9월 중 꿈두레도서관 독서캠핑장 이용자 모집공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846774?&amp;pageIndex=15"")"
지자체,경기도 의왕시,「초평동 새말취락지구 도로개설 건설폐기물 처리 용역」소액수의 견적제출 안내 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846881?&amp;pageIndex=11"")"
지자체,경기도 이천시,2016년 국내·외 교류지원사업 하반기 공모 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846739?&amp;pageIndex=16"")"
지자체,경기도 이천시,전문건설업 등록사항(주기적) 신고 공고[하나케이주식회사],"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846738?&amp;pageIndex=16"")"
지자체,경기도 이천시,이천시 산업융복합형 기업형임대주택 공급촉진지구 지정을 위한 주민 열람 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846737?&amp;pageIndex=16"")"
지자체,경기도 이천시,기계식주차장치안전도 인증서 발급 공고문(8-46),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846736?&amp;pageIndex=16"")"
지자체,경기도 포천시,"경기도 행정 혁신, 정부합동평가 사상 첫 1위 등극","=HYPERLINK(""http://www.korea.go.kr/locgovNews/846890?&amp;pageIndex=10"")"
지자체,경기도 포천시,‘파주 장단콩’6차산업 활성화 방안 공동모색,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846889?&amp;pageIndex=10"")"
지자체,경상남도 사천시,2016년 2학기 경남학숙 입사생 모집 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846828?&amp;pageIndex=13"")"
지자체,경상남도 통영시,신재생 발전사업 온라인 의향조사 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846920?&amp;pageIndex=9"")"
지자체,경상남도 하동군,도로명주소 개별고시(201차),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846938?&amp;pageIndex=7"")"
지자체,경상남도 합천군,아쿠아로빅 운동교실 참여 희망자 모집,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846842?&amp;pageIndex=12"")"
지자체,경상남도 합천군,공익사업 준비를 위한 토지 출입 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846727?&amp;pageIndex=17"")"
지자체,경상북도 경산시,2016년도 계량기 정기검사 보조원 채용 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846777?&amp;pageIndex=15"")"
지자체,경상북도 김천시,2016년 하반기 마을회관 보수사업 지방보조금 공모 계획,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846778?&amp;pageIndex=15"")"
지자체,경상북도 문경시,「 제11회 문경사과축제 」개·폐막식 및 체험존 운영 대행용역 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/847017?&amp;pageIndex=4"")"
지자체,경상북도 문경시,2016년 경북농업명장 추천 대상자 모집 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/847016?&amp;pageIndex=4"")"
지자체,경상북도 문경시,문화가 있는 날 ' 한 여름 밤의 재즈 콘서트',"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846891?&amp;pageIndex=10"")"
지자체,경상북도 영양군,향군회관 리모델링공사 전자 입찰 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/847007?&amp;pageIndex=5"")"
지자체,경상북도 예천군,예천 삼강 관광지 지정 · 조성계획 및 지형도면 승인 고시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846880?&amp;pageIndex=11"")"
지자체,경상북도 의성군,「농어업인 연금보험료 지원체계 개선방안」 온라인 정책토론 개최 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/847021?&amp;pageIndex=3"")"
지자체,경상북도 칠곡군,2017년 산림소득 공모사업 공모,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/847024?&amp;pageIndex=3"")"
지자체,경상북도 칠곡군,자동차관리사업 등록취소 청문실시통지 공시송달 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/847023?&amp;pageIndex=3"")"
지자체,경상북도 칠곡군,2016년 경북여성장애인복지관 「출산용품제공사업」 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/847022?&amp;pageIndex=3"")"
지자체,경상북도 칠곡군,기산면 주간행사(2016. 7. 18 ~ 2016. 7. 24.),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/847020?&amp;pageIndex=4"")"
지자체,경상북도 칠곡군,2016년 8월 호이유아숲체험원 체험형 참여기관 모집,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/847019?&amp;pageIndex=4"")"
지자체,광주광역시,광주 도시관리계획(호남시장 해제지역 지구단위계획) 결정(변경) 및 지형도면고시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846649?&amp;pageIndex=18"")"
지자체,광주광역시,"양1동 주거환경개선사업 기본계획 변경, 정비구역 변경 지정 및 지형도면 고시","=HYPERLINK(""http://www.korea.go.kr/locgovNews/846648?&amp;pageIndex=18"")"
지자체,광주광역시,도시관리계획(월산근린공원 조성계획)변경 결정 및 지형도면 고시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846647?&amp;pageIndex=18"")"
지자체,광주광역시,광주 도시관리계획(상무1지구 등 11개 지구 지구단위계획) 결정(변경) 및 지형도면고시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846646?&amp;pageIndex=18"")"
지자체,광주광역시,광주효천1 도시개발사업 개발계획(변경) 및 실시계획(변경) 인가 고시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846645?&amp;pageIndex=19"")"
지자체,광주광역시 북구,광주도시계획시설(도로)사업 시행자지정 및 실시계획인가를 위한 사전열람공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846836?&amp;pageIndex=13"")"
지자체,광주광역시 북구,충효동 일원 개발행위허가 제한지역 지정 고시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846833?&amp;pageIndex=13"")"
지자체,광주광역시 북구,"광주 도시관리계획(주차장, 운암어린이공원 조성계획) 결정(변경) 및 지형도면 승인고시","=HYPERLINK(""http://www.korea.go.kr/locgovNews/846831?&amp;pageIndex=13"")"
지자체,광주광역시 북구,시설공사(비엔날레 명품산책길 조성공사) 전자입찰 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/846829?&amp;pageIndex=13"")"
