순번,키워드,발표처,제목,웹주소
1,ETRI,연합뉴스,중국 지하철에 ETRI 기가급 데이터서비스 적용,"=HYPERLINK(""http://www.yonhapnews.co.kr/bulletin/2016/07/21/0200000000AKR20160721052800063.HTML"")"
1,ETRI,서울경제,"ETRI·전경련, 예비창업자 성장 도우미 나서","=HYPERLINK(""http://www.sedaily.com/NewsView/1KYXUHELEO"")"
1,ETRI,전자신문,[출연연 대개혁]<3>출연연 R&D 생산성 인건비 빼고도 미국 절반,"=HYPERLINK(""http://www.etnews.com/20160720000367"")"
1,ETRI,한국경제,"""기업 키워 일자리 늘렸더니…기다리는 건 차별과 서자 취급""","=HYPERLINK(""http://www.hankyung.com/news/app/newsview.php?aid=2016072004291"")"
1,ETRI,한국경제,"""구글·애플처럼 IP 확보 위해 공격적 M&A 나서야""","=HYPERLINK(""http://www.hankyung.com/news/app/newsview.php?aid=2016072004731"")"
1,ETRI,전자신문,[출연연 대개혁] '61.99' 정년의 비밀,"=HYPERLINK(""http://www.etnews.com/20160719000384?mc=ns_004_00003"")"
1,ETRI,대한민국정책포털 korea.kr,창조경제 생태계 조성 3년…제2 벤처·창업 붐 확산,"=HYPERLINK(""http://www.korea.kr/policy/economyView.do?newsId=148818689&call_from=naver_news"")"
2,한국전자통신연구원,전자신문,[출연연 대개혁]<3>간접비율이 기관 경영 상태 좌우...인센티브도 걸려,"=HYPERLINK(""http://www.etnews.com/20160720000384"")"
2,한국전자통신연구원,중앙일보,아이패드화가·모바일쿡…세상에 없던 직업 만든 '맥아더',"=HYPERLINK(""http://news.joins.com/article/20337729"")"
2,한국전자통신연구원,전자신문,[출연연 대개혁]<3>출연연 R&D 생산성 인건비 빼고도 미국 절반,"=HYPERLINK(""http://www.etnews.com/20160720000367?m=1"")"
2,한국전자통신연구원,대덕넷,"혼자 기다리는 융합? No! ""산학연 개인, 발벗고 뭉치자""","=HYPERLINK(""http://www.hellodd.com/?md=news&mt=view&pid=58676"")"
2,한국전자통신연구원,미래 한국 신문,'4차원 규제'가 4차 산업혁명 봉쇄,"=HYPERLINK(""http://www.futurekorea.co.kr/news/articleView.html?idxno=31944"")"
2,한국전자통신연구원,www.globalnewsagency.kr,"건강관리협회 부산, CKA인증획득","=HYPERLINK(""http://www.globalnewsagency.kr/news/articleView.html?idxno=59097"")"
2,한국전자통신연구원,미디어펜,"사상최고가 재도전 삼성전자, 200만원대 갈까?","=HYPERLINK(""http://www.mediapen.com/news/view/169741"")"
2,한국전자통신연구원,머니투데이,[시황종합]코스피 이틀째 숨고르기... 삼성電 한때 신고가,"=HYPERLINK(""http://news.mt.co.kr/mtview.php?no=2016072015194607583&MM"")"
2,한국전자통신연구원,더팩트,"코스피 외인 '팔자'에 약보합, 현대엘리베이터 5.95% '급등'","=HYPERLINK(""http://news.tf.co.kr/read/economy/1647879.htm"")"
5,미래부,ZD넷 코리아,"미래부, '클라우드 확산' 민간에 공 넘겼다","=HYPERLINK(""http://www.zdnet.co.kr/news/news_view.asp?artice_id=20160720151812"")"
5,미래부,디지털타임스,"미래부, 정보보호 공시 가이드라인 잠정안 마련","=HYPERLINK(""http://www.dt.co.kr/contents.html?article_no=2016072102109960813005"")"
5,미래부,아시아투데이,"미래부 'LTE,가능 지역 지도로 확인'…통신 커버리지 공개","=HYPERLINK(""http://www.asiatoday.co.kr/view.php?key=20160721010010007"")"
5,미래부,아시아경제,"미래부 2차관 ""유료방송 추진위 구성…연내 발전계획 발표""","=HYPERLINK(""http://www.asiae.co.kr/news/view.htm?idxno=2016072013364427182"")"
5,미래부,서울경제,"미래부 ""통신방송요금 부가세 빼지 말고 알려라""","=HYPERLINK(""http://www.sedaily.com/NewsView/1KYXUO7BRJ"")"
5,미래부,아시아투데이,'스마트 디바이스 제작 전문기업 민간협의회' 출범…미래부 지원,"=HYPERLINK(""http://www.asiatoday.co.kr/view.php?key=20160721010010066"")"
5,미래부,ZD넷 코리아,"미래부, 케이블TV 종합대책...어떤 내용 담길까?","=HYPERLINK(""http://www.zdnet.co.kr/news/news_view.asp?artice_id=20160720174211"")"
5,미래부,영남일보,원전해체종합센터 무산은 미래부-산자부 비협조 탓,"=HYPERLINK(""http://www.yeongnam.com/mnews/newsview.do?mode=newsView&newskey=20160721.010120752100001"")"
5,미래부,디지털데일리,"미래부, SKT-CJHV 인수합병 불허 최종 결론낸다","=HYPERLINK(""http://www.ddaily.co.kr/news/article.html?no=145494"")"
5,미래부,중도일보,축사하는 최양희 미래부 장관,"=HYPERLINK(""http://www.joongdo.co.kr/jsp/article/article_view.jsp?pq=201607201603"")"
5,미래부,뉴스1 (press release),"[단독]정부, '폭리논란' 휴대폰 유심비 실태조사 나선다","=HYPERLINK(""http://news1.kr/articles/?2726061"")"
5,미래부,아이뉴스24,"내년 2월 지상파 UHD 방송, 누구 위한 세계 최초?","=HYPERLINK(""http://news.inews24.com/php/news_view.php?g_serial=969647&g_menu=020320"")"
5,미래부,디오데오,"대표이사 구속 면했지만…롯데홈, 행정소송 어쩌나","=HYPERLINK(""http://www.diodeo.com/news/view/1711680"")"
5,미래부,뉴시스,"朴대통령, 당정청 삼각파고 돌파구는 결국 개각?","=HYPERLINK(""http://www.newsis.com/ar_detail/view.html?ar_id=NISX20160720_0014234340&cID=10301&pID=10300"")"
5,미래부,연합뉴스,'롯데케미칼 200억대 소송 사기' 기준 前사장 영장,"=HYPERLINK(""http://www.yonhapnews.co.kr/society/2016/07/20/0701000000AKR20160720114351004.HTML"")"
5,미래부,디지털타임스,"""통신·방송 기업결합 심사제, 일원화·투명성 높여야""","=HYPERLINK(""http://www.dt.co.kr/contents.html?article_no=2016072102101331747001"")"
5,미래부,Newsprime,"""알뜰한 통화? 알뜰한 데이터!"" 진화하는 알뜰폰","=HYPERLINK(""http://www.newsprime.co.kr/news/article.html?no=343446&sec_no=74"")"
5,미래부,서울경제,감미료 '알룰로스' 비만 개선 효과 입증,"=HYPERLINK(""http://www.sedaily.com/NewsView/1KYXTNAOCN"")"
5,미래부,뉴스웍스,[제4차 산업혁명 시대]④몽상을 아이디어로 바꿔주는 3D 프린터,"=HYPERLINK(""http://www.newsworks.co.kr/news/articleView.html?idxno=70990"")"
5,미래부,자유아시아방송,"쇼팽 콩쿠르 우승 조성진, 서울 시향 협연 호평","=HYPERLINK(""http://www.rfa.org/korean/weekly_program/c138c0c1c744-c5ecb294-b77cb514c624/fe-ck-07192016161556.html"")"
5,미래부,플래텀,"머신러닝 스타트업 '엑스브레인', 국제 머신러닝 대회서 3위 수상","=HYPERLINK(""http://platum.kr/archives/63583"")"
5,미래부,오마이뉴스,"염태영 ""경기도가 빨대노릇? 정부 이간질 조폭 수준""","=HYPERLINK(""http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002228272"")"
5,미래부,아시아투데이,케이블TV 숨통 트이나…연내 유료방송 발전계획 나온다,"=HYPERLINK(""http://www.asiatoday.co.kr/view.php?key=20160720010009586"")"
5,미래부,한국일보,"“소득은 5%, 부채는 8%씩 늘어… 빚에 중독된 사회”","=HYPERLINK(""https://www.hankookilbo.com/v/533c188257cb478c964683b406e5057f"")"
5,미래부,아시아경제,"유일호 ""올해 세법개정안, 경제활력·민생안정에 역점""","=HYPERLINK(""http://www.asiae.co.kr/news/view.htm?idxno=2016072107590115636"")"
5,미래부,스포츠한국,"이태양, 김경문 감독의 믿음에 비수 꽂다","=HYPERLINK(""http://sports.hankooki.com/lpage/baseball/201607/sp2016072106005057360.htm"")"
5,미래부,뉴스웨이,"[檢 신동빈 정조준]검찰, 구겨진 자존심 회복할까…강현구 구속영장 ...","=HYPERLINK(""http://www.newsway.co.kr/view.php?tp=1&ud=2016072016594878029"")"
5,미래부,메디포뉴스,"방사선의학 발전, 기초연구 지원·타산업 연계 핵심","=HYPERLINK(""https://www.medifonews.com/news/article.html?no=120780"")"
5,미래부,시사비즈 (풍자),"영세개발자 “대기업 기술표절 철퇴 가해야""","=HYPERLINK(""http://www.sisabiz.com/biz/article/155615"")"
5,미래부,연합뉴스,'서울형 도시재생 1호' 창신·숭인에 1천억원 투입(종합),"=HYPERLINK(""http://www.yonhapnews.co.kr/bulletin/2016/07/19/0200000000AKR20160719178451004.HTML"")"
5,미래부,디오데오,"당정, 오늘 '세법 개정' 협의…28일 입법예고 앞서 조율","=HYPERLINK(""http://www.diodeo.com/news/view/1711641"")"
