구분,발표처,제목,웹주소
중앙부처,교육부,제8차 사회관계장관회의 개최,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848121?&amp;pageIndex=1"")"
중앙부처,교육부,2016년 1차 학교폭력 실태조사 결과,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848120?&amp;pageIndex=1"")"
중앙부처,국토교통부,‘달동네·쪽방촌 도시재생’탄력받는다,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/829343?&amp;pageIndex=2"")"
중앙부처,농림축산식품부,메가FTA시대의 농업통상 추진 방향 관련 온라인 정책포럼 실시,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848237?&amp;pageIndex=1"")"
중앙부처,농림축산식품부,온라인 정책토론(스마트 팜 도입 활성화 방안) 실시 공고,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848236?&amp;pageIndex=1"")"
중앙부처,농촌진흥청,"농촌진흥청, 우수성과 사례 찾아 신속하게 현장속으로","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/829344?&amp;pageIndex=2"")"
중앙부처,민주평화통일자문회의,민주평통사무처 대변인(공모직위) 공개모집,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848223?&amp;pageIndex=1"")"
중앙부처,보건복지부,국민건강증진법 시행규칙 일부개정령(안) 입법예고,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848110?&amp;pageIndex=2"")"
중앙부처,산림청,[국립수목원] 2016년도「국립수목원 성인대상 식물세밀화교실」참가자 모집,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848238?&amp;pageIndex=1"")"
중앙부처,새만금개발청,경기침체 여파 새만금개발청 투자협약(MOU) 30% 철회 관련,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848109?&amp;pageIndex=2"")"
중앙부처,외교부,"임성남 1차관, 美 민주당 상･하원 대표단 초청 조찬","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848239?&amp;pageIndex=1"")"
중앙부처,정책브리핑,다문화 프로그램과 함께 휴가를 떠나보세요! - 온 가족이 함께하는 여름철 '지역다문...,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848111?&amp;pageIndex=2"")"
중앙부처,정책브리핑,"캠핑카 10년새 20배 증가, 차량소유는 남녀 모두 50대가 최대","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/847889?&amp;pageIndex=2"")"
중앙부처,정책브리핑,국토교통부 부산지방국토관리청 수요 ‘남강 생초지구 하천환경정비사업’등 총 63건...,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/847888?&amp;pageIndex=2"")"
