구분,발표처,제목,웹주소
중앙부처,방송통신위원회,"방송통신위원회, 2016년 제42차 위원회 결과","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156491&amp;&amp;pp=10&amp;pg=5"")"
중앙부처,보건복지부,과음 경고문구 표시 고시 개정안 행정예고,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156504&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,산업통상자원부,천연가스 인프라사업 노하우ㆍ기술을 수출상품으로,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156505&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,산업통상자원부,"산업부, 에너지신산업 육성을 위한 속도감있는 행보","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156498&amp;&amp;pp=10&amp;pg=5"")"
중앙부처,질병관리본부,리우올림픽 대비 감염병 예방 홍보 캠페인 실시,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156466&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,질병관리본부,수족구병 3주째 감소....안심은 “일러”,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156467&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,질병관리본부,여성건강의 사각지대 ‘소녀기 건강이슈’ 논의,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156468&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,통계청,2016년 5월 경제활동인구조사 청년층 및 고령층 부가조사 결과,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156502&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,한국은행,2016.7월 금융협의회 개최 결과,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156501&amp;&amp;pp=10&amp;pg=6"")"
중앙부처,해양수산부,선박평형수협약 발효 대비 업ㆍ단체 상생의 길 찾는다,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156488&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,행정자치부,"인니 공무원, 한국의 전자정부를 체험하다","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156477&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,행정자치부,"주민등록증 발급사실, 문자메시지로 확인하세요","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156478&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,행정자치부,국민편의를 높이는 기관 간 정보공유 확대,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156476&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,행정자치부,이제 회사에서 인터넷으로 정부에 공문 제출한다,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156479&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,환경부,부표 힘을 이용···빗물 섞인 하수 여과하는 기술 개발,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156486&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,환경부,폐기물 재활용 선진화 본격 시행,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156487&amp;&amp;pp=10&amp;pg=4"")"
