구분,발표처,제목,웹주소
지자체,대전광역시,전국기능대회 대전 대표 선수들 힘내세요,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850161?&amp;pageIndex=4"")"
지자체,대전광역시,더불어민주당-대전시 예산정책협의회 개최,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850160?&amp;pageIndex=4"")"
지자체,대전광역시,중앙시장 내‘중앙메가프라자’청년몰 조성사업 추진,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850159?&amp;pageIndex=4"")"
지자체,부산광역시 서구,2015년 2분기 거주불명등록자의 행정상 관리주소 이전 직권조치결과 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849889?&amp;pageIndex=9"")"
지자체,부산광역시 서구,충무쇼핑~천마로간 도로개설공사 수용재결서 정본 공시송달 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849888?&amp;pageIndex=9"")"
지자체,부산광역시 서구,북산리 공영주차장 위탁운영 전자입찰 재공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849887?&amp;pageIndex=9"")"
지자체,부산광역시 수영구,"광안1지구 지적재조사사업 측량, 조사 등의 대행자 선정 공고(호외) 게재 의뢰","=HYPERLINK(""http://www.korea.go.kr/locgovNews/850080?&amp;pageIndex=7"")"
지자체,서울특별시 구로구,정보화교실 초등학생 여름방학 특강 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850089?&amp;pageIndex=6"")"
지자체,서울특별시 성동구,보건소 구급차(특수) 내부 영상기록장치 설치를 위한 행정예고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850202?&amp;pageIndex=2"")"
지자체,서울특별시 양천구,아동성범죄 및 아동학대예방 무료강좌 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850085?&amp;pageIndex=6"")"
지자체,울산광역시,"울산시, 참돔 치어 17만 8,000마리 방류","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849981?&amp;pageIndex=7"")"
지자체,울산광역시,서울지역 단체관광객 “여름휴가 보내러 울산으로!”,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849980?&amp;pageIndex=7"")"
지자체,울산광역시,"울산의 해양문화, 해녀(海女)의 이해","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849979?&amp;pageIndex=7"")"
지자체,울산광역시,울산시 ‘재난대비 도상훈련 및 연찬회’ 개최,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849978?&amp;pageIndex=7"")"
지자체,울산광역시,울산시 문화관광해설사 환대 서비스 강화,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849977?&amp;pageIndex=7"")"
지자체,인천광역시,"(7/19) 오존 주의보 해제 [영종권역, 동남부권역]","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849972?&amp;pageIndex=8"")"
지자체,인천광역시 계양구,개인하수처리시설 처리방법별 내부청소 기준 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850192?&amp;pageIndex=3"")"
지자체,인천광역시 부평구,2016년 가을편 공감글판 문안 선정 결과 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850193?&amp;pageIndex=3"")"
지자체,인천광역시 옹진군,2016년 백령대청 지질공원 해설사 교육생 모집 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850191?&amp;pageIndex=3"")"
지자체,전라남도 장흥군,제2회 정남진도서관 개관시간연장사업 야간 전담 기간제 근로자 채용 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850141?&amp;pageIndex=5"")"
지자체,전라남도 장흥군,『2016년 연안어선 감척사업』감척어선 기관장비 및 어구어망 매각 전자입찰 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850140?&amp;pageIndex=5"")"
지자체,전라남도 화순군,장애인전용주차구역 위반 과태료부과처분 사전통지 및 부과고지서 공시송달,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850253?&amp;pageIndex=1"")"
지자체,전라남도 화순군,무등산국립공원 도원자동차야영장 조성공사 보상계획 열람공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850147?&amp;pageIndex=4"")"
지자체,전라북도,"전북도, ′16년도 도지사인증상품 선정 공고","=HYPERLINK(""http://www.korea.go.kr/locgovNews/850168?&amp;pageIndex=3"")"
지자체,전라북도,"기초연금 시행 2년, 편안한 노후생활에 기여","=HYPERLINK(""http://www.korea.go.kr/locgovNews/850167?&amp;pageIndex=3"")"
지자체,전라북도,"전북도, 도민 편의를 위한 보행자중심 도로명판 확대 설치","=HYPERLINK(""http://www.korea.go.kr/locgovNews/850166?&amp;pageIndex=3"")"
지자체,전라북도,도내 친환경농산물 안심하고 드세요!!,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850165?&amp;pageIndex=4"")"
지자체,전라북도,"보건환경硏, 대학생 직업체험교육","=HYPERLINK(""http://www.korea.go.kr/locgovNews/850164?&amp;pageIndex=4"")"
지자체,전라북도 고창군,고창읍 소재지 조성공사 실시설계,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850199?&amp;pageIndex=2"")"
지자체,전라북도 고창군,상하장사정(국궁장) 신축공사,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850198?&amp;pageIndex=2"")"
지자체,전라북도 고창군,2016년 미포장도로 부설용 쇄석골재 구입(2차) 단가입찰,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850197?&amp;pageIndex=3"")"
지자체,전라북도 고창군,설해대책용 제설제(소금) 구입(2차),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850196?&amp;pageIndex=3"")"
지자체,전라북도 고창군,전북 6차산업 활성화를 위한 기초실태 및 디렉토리 조사실시 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849971?&amp;pageIndex=8"")"
지자체,전라북도 고창군,선운산도립공원 야영장 안전위생시설 개보수사업,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849970?&amp;pageIndex=8"")"
지자체,전라북도 고창군,흥덕 하수관거 정비사업 폐기물처리(용장3차),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849969?&amp;pageIndex=8"")"
지자체,전라북도 진안군,작목별 테마시험포 조성공사,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850082?&amp;pageIndex=6"")"
지자체,충청남도 천안시,2020년 천안도시관리계획(재정비) 결정(변경),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850252?&amp;pageIndex=1"")"
지자체,충청남도 천안시,2016. 제5회 사랑의멜로디 태교음악회 무료개최 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850251?&amp;pageIndex=1"")"
지자체,충청북도,“청년이 행복한 충북실현을 위한 충북청년포털 오픈”,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850226?&amp;pageIndex=1"")"
지자체,충청북도,공무원 한번이라도 징계 받으면 퇴직포상 못 받는다,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850225?&amp;pageIndex=1"")"
지자체,충청북도,도내 교통사고 예방을 위한 정책세미나 개최,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850224?&amp;pageIndex=1"")"
지자체,충청북도,도립교향악단 제28회 정기연주회 거장의 발자취‘독일편’,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850223?&amp;pageIndex=1"")"
지자체,충청북도,"세계무예마스터십, 도핑·오심논란 없앤다!","=HYPERLINK(""http://www.korea.go.kr/locgovNews/850222?&amp;pageIndex=1"")"
지자체,충청북도,장애인 전수조사 관련 충북도 시군 담당과장 긴급회의 개최,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849909?&amp;pageIndex=9"")"
지자체,충청북도,중학생 자녀와 아빠가 함께 떠나는 1박2일 캠프,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849908?&amp;pageIndex=9"")"
지자체,충청북도,"충청북도, 달구벌(대구의 옛이름)을 武와 美로 달구다.","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849907?&amp;pageIndex=9"")"
지자체,충청북도,"충북도, 아시아솔라밸리 실무협의회 및 도·시·군 관계자 합동 워크숍 개최","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849906?&amp;pageIndex=9"")"
지자체,충청북도,충청북도 여름 휴가철 공직감찰 실시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849905?&amp;pageIndex=9"")"
지자체,충청북도 청주시,2016년 7월 22일 부여 예정 자가용 자동차 등록번호입니다,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/850200?&amp;pageIndex=2"")"
