구분,발표처,제목,웹주소
지자체,경상남도 진주시,2016년 하반기 진주시 농업기금 융자시행계획 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848466?&amp;pageIndex=3"")"
지자체,경상북도,경북 농어촌으로 ‘영어버스’ 달려간다,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848315?&amp;pageIndex=6"")"
지자체,경상북도,야생동물과의 전쟁…경북도 ‘피해방지단’ 운영,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848314?&amp;pageIndex=6"")"
지자체,경상북도 칠곡군,칠곡군 건강가정·다문화가족지원센터 위탁운영기관 모집 재공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848471?&amp;pageIndex=3"")"
지자체,대구광역시 동구,이륜차 책임보험미가입 과태료 고지서 반송분에 대한 공시송달,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848458?&amp;pageIndex=4"")"
지자체,대구광역시 동구,이륜차 책임보험미가입 과태료 고지서 반송분에 대한 공시송달 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848457?&amp;pageIndex=4"")"
지자체,대구광역시 동구,이륜차책임보험미가입 과태료 고지서 반송분에 대한 공시송달 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848456?&amp;pageIndex=4"")"
지자체,대구광역시 동구,전문건설업 신규등록 공고(유림건설),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848455?&amp;pageIndex=4"")"
지자체,부산광역시 기장군,"장애인전용주차구역위반 사전처분통지서, 본부과고지서, 체납통지서, 압류예고통지서...","=HYPERLINK(""http://www.korea.go.kr/locgovNews/848290?&amp;pageIndex=6"")"
지자체,부산광역시 북구,부산광역시 북구 화명1동 주민자치위원회 고문 및 위원 인적사항 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848295?&amp;pageIndex=6"")"
지자체,부산광역시 북구,불명자 공고 및 공시송달,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848294?&amp;pageIndex=6"")"
지자체,부산광역시 북구,무단방치자전거 처리공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848293?&amp;pageIndex=6"")"
지자체,부산광역시 북구,2016년 7월 자동차 의무보험 과태료 독촉고지서 송달불능자 공시송달 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848292?&amp;pageIndex=6"")"
지자체,부산광역시 북구,구포1지구(1단계) 지적재조사사업 완료에 따른 공시송달 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848291?&amp;pageIndex=6"")"
지자체,부산광역시 서구,재결서 정본 공시송달 공고(암남동 덕수빌라~송남빌라간 도로개설공사),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848288?&amp;pageIndex=7"")"
지자체,부산광역시 서구,2016년 7월 자동차번호판 영치사전통지서 반송분 공시송달 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848287?&amp;pageIndex=7"")"
지자체,부산광역시 해운대구,주민자치회 프로그램 수강료 수입 및 지출내역 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848289?&amp;pageIndex=6"")"
지자체,서울특별시,"백남준기념관 조성사업 발대식, “헬로우 백남준”개최","=HYPERLINK(""http://www.korea.go.kr/locgovNews/848528?&amp;pageIndex=1"")"
지자체,서울특별시 마포구,자원봉사가 함께하는 '공유서가' 홍보를 위한 '재능나눔 국악콘서트' 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848472?&amp;pageIndex=3"")"
지자체,서울특별시 성동구,자치화관 반기별 운영결과 보고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848474?&amp;pageIndex=2"")"
지자체,서울특별시 성동구,주민자치위원회 위원 추가 위촉 사항 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848473?&amp;pageIndex=2"")"
지자체,서울특별시 영등포구,석면비산 측정 결과 보고[(주)한강건설환경],"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848374?&amp;pageIndex=5"")"
지자체,서울특별시 영등포구,석면비산 측정 결과 보고[(주)지주산업개발],"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848373?&amp;pageIndex=5"")"
지자체,서울특별시 용산구,악성 체납자 꼼짝마! 지금 만나러 갑니다,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848467?&amp;pageIndex=3"")"
지자체,울산광역시 남구,교통과태료체납자 채권(공탁금) 압류통지서 공시송달 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848454?&amp;pageIndex=4"")"
지자체,전라남도 여수시,여름철 에너지 절약 부문별 주요 실천사항,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848515?&amp;pageIndex=2"")"
지자체,전라남도 여수시,2016년 제2차 예비사회적기업 신규지정 등 공모계획 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848514?&amp;pageIndex=2"")"
지자체,전라북도 고창군,고창군 명예군민증 수여 대상자 선발 요강,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848478?&amp;pageIndex=2"")"
지자체,전라북도 고창군,제32회 고창군민의 장 수상후보자 선발 요강,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848477?&amp;pageIndex=2"")"
지자체,전라북도 고창군,2016년 여름방학 초등학생 수영특강반 모집 및 운영 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848476?&amp;pageIndex=2"")"
지자체,전라북도 고창군,"""일본뇌염 경보"" 발령","=HYPERLINK(""http://www.korea.go.kr/locgovNews/848475?&amp;pageIndex=2"")"
지자체,전라북도 무주군,하계 공중화장실관리원 채용,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848469?&amp;pageIndex=3"")"
지자체,전라북도 무주군,행락철 교통지동단속원 채용,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848468?&amp;pageIndex=3"")"
지자체,전라북도 장수군,"장수군, 고향희망심기 국민디자인단 실무회의 가져","=HYPERLINK(""http://www.korea.go.kr/locgovNews/848465?&amp;pageIndex=3"")"
지자체,전라북도 장수군,장수군 산서면 기관단체 친선 족구대회,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848464?&amp;pageIndex=3"")"
지자체,전라북도 장수군,장수군 계남면 대표경로당 복달임 행사 가져,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848463?&amp;pageIndex=3"")"
지자체,전라북도 장수군,"장수군, 규제개혁 추진상황 점검회의 개최","=HYPERLINK(""http://www.korea.go.kr/locgovNews/848461?&amp;pageIndex=4"")"
지자체,전라북도 전주시,송천동 오송1길 외 1개소 오수관 개량공사 폐기물처리용역,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848470?&amp;pageIndex=3"")"
지자체,충청북도,세계무예마스터십 조직위-대한체육회 업무협약 체결,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848531?&amp;pageIndex=1"")"
지자체,충청북도,“ 아로니아 농식품 특허”실용화 나선다.,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848530?&amp;pageIndex=1"")"
지자체,충청북도,"충북도, 강도 높은 대응으로 폭염피해 최소화 나서","=HYPERLINK(""http://www.korea.go.kr/locgovNews/848529?&amp;pageIndex=1"")"
지자체,충청북도,"충북도, 청주세계무예마스터십 지원 업무협약 체결","=HYPERLINK(""http://www.korea.go.kr/locgovNews/848319?&amp;pageIndex=5"")"
지자체,충청북도,"피서철 물놀이, 안전수칙 준수와 함께","=HYPERLINK(""http://www.korea.go.kr/locgovNews/848318?&amp;pageIndex=5"")"
지자체,충청북도,"이시종 지사, “무예마스터십 반드시 성공대회로 개최해야”","=HYPERLINK(""http://www.korea.go.kr/locgovNews/848317?&amp;pageIndex=5"")"
지자체,충청북도,충북 저출산 극복 네트워크 협의회 발대식 개최 및 공동캠페인 실시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848316?&amp;pageIndex=6"")"
