구분,발표처,제목,웹주소
중앙부처,교육부,학원 과대.거짓 인터넷 광고 집중 모니터링 실시,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/849566?&amp;pageIndex=1"")"
중앙부처,교육부,시?도교육청 자유학기제 운영 우수사례,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/849565?&amp;pageIndex=1"")"
중앙부처,교육부,[참고자료]대학 강사제도 종합대책(시안) 발표 및 공청회 개최,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/849564?&amp;pageIndex=1"")"
중앙부처,교육부,"이준식 부총리, 전국시도교육감협의회 회장단 간담회 결과","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/849563?&amp;pageIndex=1"")"
중앙부처,산림청,[서부지방산림청] 2016년 경암근린공원 유아숲체험원 등록 공고,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/849607?&amp;pageIndex=1"")"
중앙부처,정책브리핑,"산림청, 정보화 용역사업 정보보안·청렴 서약식","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/849374?&amp;pageIndex=1"")"
중앙부처,정책브리핑,"농식품부, 급식업체와 협업으로 GAP 생산과 유통을 동시에 해결!","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/849373?&amp;pageIndex=1"")"
중앙부처,행정자치부,제71주년 광복절 나라사랑 태극기 달기 운동 추진,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/849609?&amp;pageIndex=1"")"
중앙부처,행정자치부,매립지 등이 속할 지방자치단체 결정 신청내용 공고,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/849608?&amp;pageIndex=1"")"
지자체,경기도 고양시,"(재)고양시청소년재단 이사, 감사 채용공고","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849604?&amp;pageIndex=1"")"
지자체,경기도 고양시,"행신3동 제30통, 34통장 공개모집 공고","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849539?&amp;pageIndex=5"")"
지자체,경기도 고양시,주민등록신고지연자(무단전출)에 대한 직권조치 결과 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849538?&amp;pageIndex=5"")"
지자체,경기도 고양시,도시계획시설(도로:중로2-186호선)항공대 연결도로 개설공사 구간 보상 계획 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849537?&amp;pageIndex=5"")"
지자체,경기도 고양시,『제6회 고양시 공공디자인 공모전』개최 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849536?&amp;pageIndex=5"")"
지자체,경기도 수원시,수원시 지방공무원 특수업무수당 지급 조례 전부개정조례안 입법예고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849605?&amp;pageIndex=1"")"
지자체,경기도 수원시,수원시 장애인복지시설 수탁기관 선정 결과 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849603?&amp;pageIndex=1"")"
지자체,경기도 수원시,공영주차장 CCTV설치를 위한 행정예고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849601?&amp;pageIndex=2"")"
지자체,경기도 안성시,2016년도 해외 선진 뿌리기술 연수 시행계획 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849552?&amp;pageIndex=4"")"
지자체,경기도 안양시,경기도 원단 및 디자인개발 지원사업 신청,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849595?&amp;pageIndex=2"")"
지자체,경기도 용인시,소액수의(용역)견적제출 안내공고[2016년 처인구 하천제초작업 용역(2차)],"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849535?&amp;pageIndex=5"")"
지자체,경기도 의왕시,「초평동 새말취락지구 도로개설 건설폐기물 처리 용역」소액수의 견적서 제출 안내...,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849598?&amp;pageIndex=2"")"
지자체,경기도 의정부시,2020년 의정부 도시기본계획 최종 승인,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849557?&amp;pageIndex=3"")"
지자체,경기도 의정부시,"신곡1동, 농산물 직거래장터 성료","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849556?&amp;pageIndex=3"")"
지자체,경기도 의정부시,의정부 회룡로터리클럽 사랑의 쌀 기증,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849555?&amp;pageIndex=3"")"
지자체,경기도 의정부시,의정부 새마을문고 권경철 회장 취임,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849554?&amp;pageIndex=4"")"
지자체,경기도 하남시,하남도시공사 일용계약직 직원(사무보조) 공개경쟁 채용시험 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849562?&amp;pageIndex=3"")"
지자체,경상남도 남해군,"이동면 지역사회보장협의체, 복지사각지대 해소 앞장","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849426?&amp;pageIndex=6"")"
지자체,경상남도 남해군,"남해군, 청소년직업체험 프로그램 운영","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849425?&amp;pageIndex=6"")"
지자체,경상남도 남해군,"남해군, 농업분야 주요업무 평가 및 간담회 개최","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849424?&amp;pageIndex=6"")"
지자체,경상남도 남해군,"남해군, 광역살포기 이용 친환경 벼 공동방제 실시","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849423?&amp;pageIndex=6"")"
지자체,경상남도 남해군,"남해군, 6.25참전유공자 명예수당 인상 추진","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849422?&amp;pageIndex=6"")"
지자체,경상남도 사천시,사천시 평생학습센터 기간제근로자 채용계획 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849542?&amp;pageIndex=5"")"
지자체,경상남도 사천시,2016년 사회복지법인 신애원 2차 추경 예산 및 회의록 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849541?&amp;pageIndex=5"")"
지자체,대구광역시 달서구,대구광역시달서구 부조리 신고보상금 지급에 관한조례 일부개정조례안 입법예고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849602?&amp;pageIndex=1"")"
지자체,대구광역시 달서구,대구광역시달서구 공직자윤리위원회 구성과 운영에 관한 조례 일부개정조례안 입법예고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849600?&amp;pageIndex=2"")"
지자체,대구광역시 달서구,대구광역시달서구 공익신고 보호 및 지원에 관한 조례 일부개정조례안 입법예고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849599?&amp;pageIndex=2"")"
지자체,대구광역시 달서구,2016년도 작은도서관 길위의 인문학 보조사업 공모,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849597?&amp;pageIndex=2"")"
지자체,대구광역시 달서구,2016년도 독서골든벨 공모 보조사업 지원 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849596?&amp;pageIndex=2"")"
지자체,대전광역시,"대전시립미술관, 프로젝트대전 2016 : 코스모스","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849614?&amp;pageIndex=1"")"
지자체,대전광역시,민선6기 후반기 정무부시장에 이현주 변호사 내정,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849613?&amp;pageIndex=1"")"
지자체,대전광역시,"대전시, 올해의 우수공사장에 표창패 수여","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849612?&amp;pageIndex=1"")"
지자체,대전광역시,"대전소방본부, 방학기간 청소년 체험학습 프로그램 운영","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849611?&amp;pageIndex=1"")"
지자체,대전광역시,시장에게 직접 전하는 ‘직소제안’ 참신한 아이디어 풍성,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849610?&amp;pageIndex=1"")"
지자체,부산광역시 사상구,부산광역시 사상구세 기본조례 전부개정조례안 입법예고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849367?&amp;pageIndex=8"")"
지자체,부산광역시 사상구,부산광역시 사상구세 조례 전부개정안 입법예고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849366?&amp;pageIndex=8"")"
지자체,서울특별시 강동구,고덕천 에너지 테마존(가칭) 명칭공모,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849540?&amp;pageIndex=5"")"
지자체,서울특별시 강서구,일반임기제(도시계획) 공무원 채용 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849543?&amp;pageIndex=5"")"
지자체,서울특별시 광진구,담배소매업 폐업에 따른 담배소매인 지정신청 공고(미니스톱 중곡역점),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849548?&amp;pageIndex=4"")"
지자체,서울특별시 양천구,「서울특별시 양천구 여성발전기금 설치 및 운용 조례 시행규칙」일부개정 규칙안 입...,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849421?&amp;pageIndex=6"")"
지자체,서울특별시 양천구,「서울특별시 양천구 정신건강검진·상담지원에 관한 조례」제정안 입법예고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849420?&amp;pageIndex=6"")"
지자체,서울특별시 양천구,도시계획시설(사회복지시설) 결정 및 지형도면 고시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849419?&amp;pageIndex=7"")"
지자체,울산광역시,자연의 법칙에 순응하는 건강한 먹거리 ‘태초 먹거리’,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849571?&amp;pageIndex=2"")"
지자체,울산광역시,"울산시, ‘건강도시 울산’ 어워드 공모","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849570?&amp;pageIndex=2"")"
지자체,울산광역시,‘2016 울산 e-스포츠대회’개최,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849569?&amp;pageIndex=2"")"
지자체,울산광역시,"대곡박물관, ‘제57차 토요 어린이 체험학습’마련","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849568?&amp;pageIndex=3"")"
지자체,울산광역시,정자바다에서 햄릿을 만나다!,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849567?&amp;pageIndex=3"")"
지자체,인천광역시 남동구,만수6동 제17통장 모집 재공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849545?&amp;pageIndex=4"")"
지자체,전라남도 나주시,나주시·한국농어촌공사와 혁신도시 교육여건 개선에 앞장,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849606?&amp;pageIndex=1"")"
지자체,전라남도 신안군,LPG연료 사용제한 의무 위반에 따른 행정처분 사전통지 공시송달공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849533?&amp;pageIndex=6"")"
지자체,전라남도 신안군,신안군 보건소 기간제근로자 채용 서류전형 합격자 및 면접시험일정 공고 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849532?&amp;pageIndex=6"")"
지자체,전라남도 영광군,"2016, 영광대교 현황","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849534?&amp;pageIndex=6"")"
지자체,전라북도,전북을 도민 존엄성․공감의 인권도시로 만든다,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849403?&amp;pageIndex=7"")"
지자체,전라북도,여름철 건강관리는 전북 농산물로 !!,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849402?&amp;pageIndex=7"")"
지자체,전라북도,"전북도, 시군 재난정보(기상, 재난 예경보 등) 통합 관리한다.","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849401?&amp;pageIndex=7"")"
지자체,전라북도,민선6기 상반기 농촌관광 활성화 기반 차질없이 추진 !!,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849400?&amp;pageIndex=7"")"
지자체,전라북도,"전업농 연령제한 완화, 55세→60세","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849399?&amp;pageIndex=7"")"
지자체,전라북도 순창군,강천산 옥호봉 등산로 정비공사,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849544?&amp;pageIndex=5"")"
지자체,전라북도 완주군,개간사업 시행계획 승인 고시(고산면 소향리 산61-1 조정근),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849546?&amp;pageIndex=4"")"
지자체,전라북도 진안군,돼지 구제역 임상검사확인서 휴대의무제 시행,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849551?&amp;pageIndex=4"")"
지자체,전라북도 진안군,동물생산업소 전수조사 실시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849550?&amp;pageIndex=4"")"
지자체,전라북도 진안군,분뇨 및 가축분뇨 공공처리시설 수질검사 결과 알림(6월),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849549?&amp;pageIndex=4"")"
지자체,제주특별자치도 서귀포시,성산읍 수산리 자연생태공원 진입로 확포장사업 추진(보도자료 0712),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849560?&amp;pageIndex=3"")"
지자체,제주특별자치도 서귀포시,제주특별자치도보 제599호,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849559?&amp;pageIndex=3"")"
지자체,제주특별자치도 서귀포시,서귀포공공산후조리원 이용료 감면대상 변경(확대) 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849558?&amp;pageIndex=3"")"
지자체,제주특별자치도 서귀포시,2016 제주사회적경제 한마당 행사 개최 알림,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849553?&amp;pageIndex=4"")"
지자체,제주특별자치도 제주시,압류통지서 반송에 따른 공시송달,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849547?&amp;pageIndex=4"")"
지자체,충청북도,“보건·환경 시험분석 마이스터 아카데미 교육”실시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849398?&amp;pageIndex=7"")"
지자체,충청북도,안전문화 UCC 공모전 개최,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849397?&amp;pageIndex=7"")"
지자체,충청북도,"충북 관광객, 전년 상반기 대비 160만명 증가","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849396?&amp;pageIndex=7"")"
지자체,충청북도,"도정정책자문단, 도정 주요사업 현장 방문","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849395?&amp;pageIndex=7"")"
지자체,충청북도,충북도 “더불어민주당과 예산？정책협의회” 개최,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849394?&amp;pageIndex=8"")"
지자체,충청북도,제4회 충북 의료기기 디자인 공모전 개최,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849393?&amp;pageIndex=8"")"
지자체,충청북도,"‘충북TP, 충북지역 창조경제 실현 첫 걸음’","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849392?&amp;pageIndex=8"")"
지자체,충청북도,"충북도, 곤충산업육성 5개년계획 발표","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849391?&amp;pageIndex=8"")"
지자체,충청북도,"충북창조혁신센터, 청주성안길에서 창업카페 열어..","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849390?&amp;pageIndex=8"")"
지자체,충청북도,"태권도 신동 ‘강준구’ 군, 어린이 명예홍보대사 위촉","=HYPERLINK(""http://www.korea.go.kr/locgovNews/849389?&amp;pageIndex=8"")"
지자체,충청북도 옥천군,옥천국민체육센터 기간제 근로자(운영지원) 모집 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/849561?&amp;pageIndex=3"")"
