구분,발표처,제목,웹주소
중앙부처,중앙전파관리소,이공계 대학생 대상 위성전파분야 인턴십 프로그램 운영,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156436&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,질병관리본부,중증열성혈소판감소증후군(SFTS) 조기 진단과 치료 위한 진료지침 배포,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156428&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,특허청,기업-특허청-관세청이 함께 우리 브랜드를 보호한다!,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156459&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,특허청,"특허청, ‘2016 청소년 발명 페스티벌’ 개최","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156460&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,한국은행,공개시장운영 대상기관 선정,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156464&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,해양수산부,올해도 준법어업을 위한 노력은 계속된다,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156448&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,해양수산부,서태평양 공해상 망간각 독점탐사광구 확보,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156449&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,해양수산부,"우리나라, 올해도 국적선박 안전관리수준 최우수등급 받아","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156447&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,해양수산부,해수부 추천 올 여름 바다여행지 10선,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156445&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,환경부,공기청정기ㆍ차량용 에어컨 OIT 항균필터 위해성 평가결과,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156444&amp;&amp;pp=10&amp;pg=1"")"
