구분,발표처,제목,웹주소
중앙부처,공정거래위원회,"공정위, SK텔레콤-CJ헬로비전 인수ㆍ합병 금지","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156359&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,관세청,한국-콜롬비아 자유무역협정(FTA) 운영지침 시행,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156362&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,관세청,「휴가철 안전 위해 수입용품 등」 특별단속 실시,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156363&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,교육부,제8차 사회관계장관회의 개최,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156350&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,국토교통부,‘달동네ㆍ쪽방촌 도시재생’ 탄력받는다,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156334&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,국토교통부,“차세대 물류혁신의 주인공”을 찾습니다!,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156332&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,국토교통부,"캠핑카 10년새 20배 증가, 차량소유는 남녀 모두 50대가 최대","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156333&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,국토교통부,“동계올림픽 성공적 개최 기반 마련”을 위한 국토부-평창동계올림픽조직위원회 업무협약 체결,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156373&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,국토교통부,"22개 개도국 항공공무원, 서울서 항공안전 역량 키웠다","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156330&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,국토교통부,공사중단 방치건축물 2차 선도사업 대상지 공모,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156371&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,국토교통부,"경북 봉화~울진 국도36호선, 2차로 신설도로 개통","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156372&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,국토교통부,강구조물을 빠르고 균일하게 도장하는 신공법 개발,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156370&amp;&amp;pp=10&amp;pg=5"")"
중앙부처,국토교통부,국민 10명 중 8명은 행복주택 입주(권유)할 의향 있어!,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156331&amp;&amp;pp=10&amp;pg=5"")"
중앙부처,국회예산정책처,"국회예산정책처, 제20대국회 개원기념 “인구ㆍ복지ㆍ재정 : 넥스트 챌린지” 세미나 개최","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156375&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,금융위원회,'16.6월말 기준 소규모 펀드 정리 현황,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156338&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,금융위원회,’16.2분기 「현장메신저」 주요 건의사항 및 개선방향,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156337&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,금융위원회,"임종룡 금융위원장, 2016년 제12차 「금요회」 개최","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156336&amp;&amp;pp=10&amp;pg=5"")"
중앙부처,노사발전재단,장년나침반 생애설계프로그램으로 평생현역준비를!!,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156357&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,농림축산식품부,"“장마철 대비, 가축매몰지 정부합동 안전점검” 실시","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156374&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,미래창조과학부,"미래부, 「제33회 한국정보올림피아드 경시대회」 개최","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156342&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,미래창조과학부,"창조경제혁신센터 고용존, 청년이 체감하는 내실있는 일자리 연결에 중점","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156343&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,보건복지부,아파트 등 공동주택 금연구역 확대된다,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156326&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,보건복지부,저출산ㆍ고령사회위원회와 시ㆍ도간 소통ㆍ협력 강화,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156329&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,보건복지부,한국에서 치료받은 몽골 환자 원격의료를 활용한 사후관리 추진,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156327&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,산업통상자원부,대한민국을 대표하는 우리의 기술을 찾습니다,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156354&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,산업통상자원부,"한국LNG벙커링산업협회, 창립총회","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156352&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,산업통상자원부,전력데이터 공개를 통한 에너지 빅데이터 산업 활성화,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156353&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,산업통상자원부,"우태희 산업부 2차관, 여름철 전력수급 대책 및 전력설비 안정운영 대책 점검","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156355&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,조달청,우수조달물품 구매 부담 줄인다,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156365&amp;&amp;pp=10&amp;pg=2"")"
