구분,발표처,제목,웹주소
중앙부처,조달청,"조달청 - 부산시, 해양레저안전체험상품 개발 업무협약","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156364&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,중소기업청,정부지원금 부정 사용시 고발을 원칙으로 강력대응,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156367&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,중소기업청,"온라인 초보기업부터 수출전문기업까지, 최대 2억원 지원","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156366&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,질병관리본부,이대목동병원 직원 결핵 확진에 따른 역학조사 시행,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156328&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,특허청,건강과 안전을 모두 책임지는 똑똑한 화장실!,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156368&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,특허청,"정부, 미래성장동력 분야 표준특허 확보 본격 추진","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156369&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,한국산업인력공단,"기술강국 대한민국, 국제기능올림픽 노하우를 아랍에미리트(UAE)에 전수하다","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156356&amp;&amp;pp=10&amp;pg=5"")"
중앙부처,한국은행,2016년 2/4분기중 외환시장 동향,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156361&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,한국장애인고용공단,"강화되는 공무원 면접, 한국장애인고용공단과 함께 준비 하세요~","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156358&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,해양수산부,금년 상반기 연안여객선 이용객 772만 명에 달해,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156348&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,해양수산부,"전국 해수욕장 수질·백사장 오염도 조사 결과, 해수욕장 기준에 모두 '적합' :올여름 휴가도 해수욕장에서 마음껏 즐기자","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156346&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,해양수산부,안전한 바다 위한 한국형 e-내비게이션 본격 착수,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156347&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,해양수산부,"한중 FTA 발효 6개월, 대 중국 수산물 교역 증가세","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156345&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,행정자치부,한국의 개인정보보호제도 국제사회에 알린다,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156339&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,행정자치부,전자정부지원사업 패러다임이 새롭게 바뀐다,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156340&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,행정자치부,주민이 직접 참여한 ‘마을공동체 정원’ 포항에 생긴다,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156341&amp;&amp;pp=10&amp;pg=5"")"
중앙부처,환경부,농작물 수확기 앞두고 야생동물 피해 예방 강화,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156344&amp;&amp;pp=10&amp;pg=5"")"
